nome_candidato,codigo_cargo,nome_cargo,numero_candidato,numero_partido
HEITOR RODRIGO PEREIRA FREIRE,6,DEPUTADO FEDERAL,4444,44
NATÁLIA SOARES RIOS,6,DEPUTADO FEDERAL,1232,12
ALANDERSON DE CASTRO MANGUEIRA,6,DEPUTADO FEDERAL,4012,40
MARIA ZULEIDE ALMEIDA DE SOUSA,6,DEPUTADO FEDERAL,3620,36
MARIA GUERRA DE FARIAS,6,DEPUTADO FEDERAL,4011,40
FRANCISCA HELENA FERNANDES FRANCA,6,DEPUTADO FEDERAL,6513,65
DANIEL VICTOR LIMA GONÇALVES,6,DEPUTADO FEDERAL,5517,55
RAIMUNDO ANSELMO LIMA MORORO,6,DEPUTADO FEDERAL,7022,70
EDSON BEZERRA DA COSTA,6,DEPUTADO FEDERAL,4530,45
LEONARDO MÁRCIO SANTOS DE MESQUITA,6,DEPUTADO FEDERAL,3680,36
CLÁUDIO OLIVEIRA LIMA JÚNIOR,6,DEPUTADO FEDERAL,5032,50
MARCIO BATISTA BARBOSA,6,DEPUTADO FEDERAL,1525,15
ANTONIO BATISTA MARQUES,6,DEPUTADO FEDERAL,2256,22
ABRAÃO GOMES DA SILVA,6,DEPUTADO FEDERAL,1023,10
INÁCIO FRANCISCO DE ASSIS NUNES ARRUDA,6,DEPUTADO FEDERAL,6565,65
ANDRÉ FERNANDES DE MOURA,6,DEPUTADO FEDERAL,2222,22
PAULO RUBENS BARBOSA FRANÇA,6,DEPUTADO FEDERAL,5020,50
ROSÉLIA FREITAS MARTINS,6,DEPUTADO FEDERAL,1974,19
MARIA VANESSA SILVA,6,DEPUTADO FEDERAL,4432,44
JOSÉ MOACENY FÉLIX RODRIGUES FILHO,6,DEPUTADO FEDERAL,1515,15
ARTUR CORREIA LIMA NETO,6,DEPUTADO FEDERAL,9001,90
VICENTE CLAUDIO DE MOURA,6,DEPUTADO FEDERAL,3690,36
NAUMI GOMES DE AMORIM,6,DEPUTADO FEDERAL,5500,55
FRANCISCO PEREIRA GAMA,6,DEPUTADO FEDERAL,4055,40
CAETANO GUEDES NETO,6,DEPUTADO FEDERAL,4440,44
LÍVIA MOURA ROSADO KALUME REIS,6,DEPUTADO FEDERAL,7020,70
RENATO CÉLIO CHAVES RODRIGUES,6,DEPUTADO FEDERAL,4013,40
MARIA DE FÁTIMA COSTA CAVALCANTE,6,DEPUTADO FEDERAL,5188,51
FRANCISCA FATIMA DE OLIVEIRA MOTA SILVA,6,DEPUTADO FEDERAL,1002,10
ANTONIO AUGUSTO FIGUEIREDO LIMA FILHO,6,DEPUTADO FEDERAL,4554,45
ERLAN MARTINS DOS SANTOS,6,DEPUTADO FEDERAL,1020,10
MARIA DO ROSÁRIO RAMALHO GARCIA,6,DEPUTADO FEDERAL,1222,12
ANDRÉ PEIXOTO FIGUEIREDO LIMA,6,DEPUTADO FEDERAL,1234,12
VALDERLAN ALVES DE SOUZA,6,DEPUTADO FEDERAL,4411,44
VILMAR DUARTE LEITE,6,DEPUTADO FEDERAL,2208,22
CARLOS MAURO BENEVIDES FILHO,6,DEPUTADO FEDERAL,1221,12
PEDRO RIBEIRO FILHO,6,DEPUTADO FEDERAL,4412,44
MARIA LINDETE DA SILVA BARROSO,6,DEPUTADO FEDERAL,1567,15
MANOEL ALVES DE OLIVEIRA,6,DEPUTADO FEDERAL,9000,90
IANNA FERNANDES DE ALMEIDA BRANDÃO,6,DEPUTADO FEDERAL,1285,12
MARIA ELIONEIDE RABELO,6,DEPUTADO FEDERAL,2088,20
ELIAS MARTINS GOMES,6,DEPUTADO FEDERAL,1944,19
MATHEUS SOARES NORONHA,6,DEPUTADO FEDERAL,2299,22
FRANCISCO FABIANO CLAUDIANO DE OLIVEIRA,6,DEPUTADO FEDERAL,1520,15
ELISABETH BARBOSA MOREIRA,6,DEPUTADO FEDERAL,1977,19
CÉSAR FLÔR FRANCO,6,DEPUTADO FEDERAL,5177,51
LINIK SUED CARVALHO DA MOTA,6,DEPUTADO FEDERAL,8080,80
JOSÉ SUDERLAN DE CASTRO LIMA,6,DEPUTADO FEDERAL,3389,33
EVANDRO FURTADO DE LIMA,6,DEPUTADO FEDERAL,1407,14
BENJAMIM BEZERRA DE MENEZES NETO,6,DEPUTADO FEDERAL,1422,14
REGINA CLÁUDIA TABOSA FERREIRA GOMES,6,DEPUTADO FEDERAL,4555,45
MARIA DE FÁTIMA BEZERRA SILVA,6,DEPUTADO FEDERAL,3610,36
ADRIELLY DE PAULA TEIXEIRA,6,DEPUTADO FEDERAL,1245,12
ANTONIO GUEDES CAVALCANTE JÚNIOR,6,DEPUTADO FEDERAL,5123,51
RAYANA MARIA MILEM GUERRA,6,DEPUTADO FEDERAL,1470,14
SAMUEL LIMA PAULO DO RAMO,6,DEPUTADO FEDERAL,3000,30
MORONI BING TORGAN,6,DEPUTADO FEDERAL,2323,23
LUISA GONÇALVES DA SILVA,6,DEPUTADO FEDERAL,4004,40
INÊS DE MELO BRITO,6,DEPUTADO FEDERAL,1955,19
FRANCISCO ANTONIO DO CARMO,6,DEPUTADO FEDERAL,1190,11
FRANCISCO WILSON PEREIRA FILHO,6,DEPUTADO FEDERAL,1973,19
MOSES HAENDEL MELO RODRIGUES,6,DEPUTADO FEDERAL,4488,44
DAMIÃO AMÂNCIO DA SILVA,6,DEPUTADO FEDERAL,5099,50
ALANA MARIA VITORINO ROCHA,6,DEPUTADO FEDERAL,3300,33
DANIELE PIMENTEL DE OLIVEIRA,6,DEPUTADO FEDERAL,4077,40
VERISSIMO DOS SANTOS FREITAS,6,DEPUTADO FEDERAL,1030,10
LUIZ CARLOS CARDOSO DO NASCIMENTO JUNIOR,6,DEPUTADO FEDERAL,4400,44
REPUBLICANOS,6,DEPUTADO FEDERAL,10,10
Partido Democrático Trabalhista,6,DEPUTADO FEDERAL,12,12
Partido dos Trabalhadores,6,DEPUTADO FEDERAL,13,13
Movimento Democrático Brasileiro,6,DEPUTADO FEDERAL,15,15
PROGRESSISTAS,6,DEPUTADO FEDERAL,11,11
Partido Social Democrático,6,DEPUTADO FEDERAL,55,55
Partido Liberal,6,DEPUTADO FEDERAL,22,22
Partido Comunista do Brasil,6,DEPUTADO FEDERAL,65,65
Partido da Mobilização Nacional,6,DEPUTADO FEDERAL,33,33
UNIÃO BRASIL,6,DEPUTADO FEDERAL,44,44
Cidadania,6,DEPUTADO FEDERAL,23,23
Partido Social Cristão,6,DEPUTADO FEDERAL,20,20
Partido da Social Democracia Brasileira,6,DEPUTADO FEDERAL,45,45
Partido Socialismo e Liberdade,6,DEPUTADO FEDERAL,50,50
Patriota,6,DEPUTADO FEDERAL,51,51
Partido Trabalhista Brasileiro,6,DEPUTADO FEDERAL,14,14
AVANTE,6,DEPUTADO FEDERAL,70,70
MARIA SANDRA DE FREITAS,6,DEPUTADO FEDERAL,2080,20
EDWEYNE MARTINS,6,DEPUTADO FEDERAL,1600,16
Partido Socialista dos Trabalhadores Unificado,6,DEPUTADO FEDERAL,16,16
Podemos,6,DEPUTADO FEDERAL,19,19
LUZILANE DE SOUZA SILVA,6,DEPUTADO FEDERAL,1499,14
Partido Socialista Brasileiro,6,DEPUTADO FEDERAL,40,40
MARIA DE LOURDES PAZ FELIX,6,DEPUTADO FEDERAL,1311,13
JOSÉ AIRTON MACEDO DE SOUSA,6,DEPUTADO FEDERAL,1425,14
AGIR,6,DEPUTADO FEDERAL,36,36
MAYRA ISABEL CORREIA PINHEIRO,6,DEPUTADO FEDERAL,2200,22
Partido da Mulher Brasileira,6,DEPUTADO FEDERAL,35,35
Partido Verde,6,DEPUTADO FEDERAL,43,43
JOSÉ DENÍSIO PINHEIRO,6,DEPUTADO FEDERAL,4567,45
EMANUEL MAIA MOTA,6,DEPUTADO FEDERAL,5599,55
MARIA HENRIQUE DA SILVA SOUSA,6,DEPUTADO FEDERAL,1512,15
Partido da Causa Operária,6,DEPUTADO FEDERAL,29,29
Partido Comunista Brasileiro,6,DEPUTADO FEDERAL,21,21
MARIA ISLANDIA DA COSTA ROCHA,6,DEPUTADO FEDERAL,4001,40
FRANCISCO NELHO BEZERRA,6,DEPUTADO FEDERAL,4406,44
