codigo_regiao,nome_regiao,id_uf,nome_uf,CD_MUN,nome_municipio,total_setores,total_pessoas,total_domicilios,total_domicilios_particulares,total_domicilios_coletivos,media_moradores_domicilio_particular_ocupado,percentual_domicilios_particulares_ocupados,total_domicilios_particulares_ocupados
2,Nordeste,23,Ceará,2300101,Abaiara,45,10038,4358,4358,0,"2,868","0,742857143",3500
2,Nordeste,23,Ceará,2300150,Acarape,42,14027,5447,5446,1,"3,158783784","0,608108108",4440
2,Nordeste,23,Ceará,2300200,Acaraú,151,65264,26163,26129,34,"3,108055291","0,471877979",20980
2,Nordeste,23,Ceará,2300309,Acopiara,112,44962,22529,22523,6,"2,738706334","0,74986283",16403
2,Nordeste,23,Ceará,2300408,Aiuaba,45,14076,7059,7059,0,"2,854593389",,4931
2,Nordeste,23,Ceará,2300507,Alcântaras,41,11369,4994,4992,2,"3,006612007","0,661200741",3781
2,Nordeste,23,Ceará,2300606,Altaneira,24,6782,3182,3178,4,"2,722088353","0,883534137",2490
2,Nordeste,23,Ceará,2300705,Alto Santo,64,14155,6549,6544,5,"2,846741754","0,181013677",4972
2,Nordeste,23,Ceará,2300754,Amontada,84,42156,17043,17017,26,"3,185190782","2,032489611",13235
2,Nordeste,23,Ceará,2300804,Antonina do Norte,16,7245,3519,3518,1,"2,790832049","0,231124807",2596
2,Nordeste,23,Ceará,2300903,Apuiarés,34,12928,6730,6726,4,"2,839744999","2,769839525",4549
2,Nordeste,23,Ceará,2301000,Aquiraz,220,80645,46344,46057,287,"2,872985032","10,02086931",27792
2,Nordeste,23,Ceará,2301109,Aracati,190,75113,33567,33485,82,"2,883157288","3,579796428",26035
2,Nordeste,23,Ceará,2301208,Aracoiaba,91,25553,11984,11971,13,"2,932071142","0,390131956",8715
2,Nordeste,23,Ceará,2301257,Ararendá,29,11096,4842,4840,2,"2,795506185",,3961
2,Nordeste,23,Ceará,2301307,Araripe,39,19783,9391,9389,2,"2,92950237","1,466232227",6752
2,Nordeste,23,Ceará,2301406,Aratuba,34,11224,4848,4848,0,"3,133445003","0,809603573",3582
2,Nordeste,23,Ceará,2301505,Arneiroz,25,7429,3488,3487,1,"2,848868431",,2607
2,Nordeste,23,Ceará,2301604,Assaré,70,21697,10694,10694,0,"2,794204765","0,746941404",7765
2,Nordeste,23,Ceará,2301703,Aurora,73,23714,11327,11323,4,"2,81278918","0,533871159",8429
2,Nordeste,23,Ceará,2301802,Baixio,15,5704,2556,2556,0,"2,83499006","0,099403579",2012
2,Nordeste,23,Ceará,2301851,Banabuiú,35,17195,6940,6936,4,"3,072821614",,5589
2,Nordeste,23,Ceará,2301901,Barbalha,167,75033,29531,29511,20,"3,104463398","1,875621067",24152
2,Nordeste,23,Ceará,2301950,Barreira,59,22392,9953,9937,16,"2,955649419","1,121964097",7576
2,Nordeste,23,Ceará,2302008,Barro,70,19381,9074,9071,3,"2,788633094","0,73381295",6950
2,Nordeste,23,Ceará,2302057,Barroquinha,38,14567,6702,6699,3,"3,05900882",,4762
2,Nordeste,23,Ceará,2302107,Baturité,81,35218,14907,14895,12,"2,968623482","0,447031039",11856
2,Nordeste,23,Ceará,2302206,Beberibe,144,53114,28351,28309,42,"2,904829701","1,407293834",18262
2,Nordeste,23,Ceará,2302305,Bela Cruz,75,32775,13123,13118,5,"2,973029422","0,99891028",11012
2,Nordeste,23,Ceará,2302404,Boa Viagem,146,50411,24740,24731,9,"2,784597536","0,745815148",18101
2,Nordeste,23,Ceará,2302503,Brejo Santo,108,51090,19061,19046,15,"2,997240651","0,228967299",17033
2,Nordeste,23,Ceará,2302602,Camocim,110,62326,25570,25545,25,"3,056973206","1,300422024",20378
2,Nordeste,23,Ceará,2302701,Campos Sales,74,25135,12662,12654,8,"2,795031748","0,155954105",8977
2,Nordeste,23,Ceará,2302800,Canindé,184,74174,33619,33566,53,"2,928574254","1,095511173",25285
2,Nordeste,23,Ceará,2302909,Capistrano,47,17254,7639,7637,2,"2,916807575","0,422725736",5914
2,Nordeste,23,Ceará,2303006,Caridade,57,16377,7256,7251,5,"3,056945482","0,336071695",5356
2,Nordeste,23,Ceará,2303105,Cariré,50,17632,8104,8104,0,"2,870258831","0,211622986",6143
2,Nordeste,23,Ceará,2303204,Caririaçu,94,26320,12607,12602,5,"2,98310466","0,079374079",8819
2,Nordeste,23,Ceará,2303303,Cariús,43,17015,8244,8244,0,"2,70508744","1,049284579",6290
2,Nordeste,23,Ceará,2303402,Carnaubal,42,17210,7411,7408,3,"3,006638714","0,104821803",5724
2,Nordeste,23,Ceará,2303501,Cascavel,148,72720,34132,34113,19,"2,872131148","1,339127",25315
2,Nordeste,23,Ceará,2303600,Catarina,35,10243,4905,4902,3,"2,800273598",,3655
2,Nordeste,23,Ceará,2303659,Catunda,28,10444,4215,4210,5,"3,040465793",,3435
2,Nordeste,23,Ceará,2303709,Caucaia,661,355679,160137,159999,138,"2,94139719","3,145086475",120728
2,Nordeste,23,Ceará,2303808,Cedro,76,22344,10461,10455,6,"2,76584943","0,854383358",8076
2,Nordeste,23,Ceará,2303907,Chaval,23,12462,5045,5042,3,"3,162141588","0,050748541",3941
2,Nordeste,23,Ceará,2303931,Choró,32,12113,5064,5064,0,"3,029764882","0,100050025",3998
2,Nordeste,23,Ceará,2303956,Chorozinho,48,20163,9222,9221,1,"2,815668203","0,097751711",7161
2,Nordeste,23,Ceará,2304004,Coreaú,55,20953,9780,9778,2,"2,977970438","0,142126208",7036
2,Nordeste,23,Ceará,2304103,Crateús,205,76390,34293,34279,14,"2,810383581","0,187921441",27139
2,Nordeste,23,Ceará,2304202,Crato,291,131050,56702,56671,31,"2,932039705","4,642721101",44629
2,Nordeste,23,Ceará,2304236,Croatá,70,17481,8493,8484,9,"2,862921716","0,26203734",6106
2,Nordeste,23,Ceará,2304251,Cruz,68,29761,13842,13752,90,"2,869531627","2,36600676",10355
2,Nordeste,23,Ceará,2304269,Deputado Irapuan Pinheiro,26,8932,4054,4049,5,"2,66696562","0,029895366",3345
2,Nordeste,23,Ceará,2304277,Ereré,23,6474,2989,2987,2,"2,878612717","0,044464206",2249
2,Nordeste,23,Ceará,2304285,Eusébio,108,74170,29417,29409,8,"2,951007727","5,397116227",25106
2,Nordeste,23,Ceará,2304301,Farias Brito,49,18217,8656,8655,1,"2,838423185","1,246494235",6418
2,Nordeste,23,Ceará,2304350,Forquilha,56,24173,9511,9511,0,"2,981376418","0,44400592",8108
2,Nordeste,23,Ceará,2304400,Fortaleza,4422,2428708,1034611,1034146,465,"2,818781826","7,099298632",860747
2,Nordeste,23,Ceará,2304459,Fortim,52,17294,7741,7719,22,"2,904729843","0,959434439",5941
2,Nordeste,23,Ceará,2304509,Frecheirinha,52,15657,7074,7071,3,"2,887147335","0,092199889",5423
2,Nordeste,23,Ceará,2304608,General Sampaio,25,6734,3020,3020,0,"3,052583862","0,045330916",2206
2,Nordeste,23,Ceará,2304657,Graça,46,13801,6473,6471,2,"2,856167219","0,248344371",4832
2,Nordeste,23,Ceará,2304707,Granja,112,53344,23704,23692,12,"3,119143709","0,690179564",17097
2,Nordeste,23,Ceará,2304806,Granjeiro,29,4841,2019,2019,0,"3,14146658","0,064892927",1541
2,Nordeste,23,Ceará,2304905,Groaíras,23,10910,4896,4890,6,"2,719131953","1,546520329",4009
2,Nordeste,23,Ceará,2304954,Guaiúba,65,24325,9668,9666,2,"3,133857253","1,430043803",7762
2,Nordeste,23,Ceará,2305001,Guaraciaba do Norte,121,42053,17013,16997,16,"3,109950359","0,266725939",13497
2,Nordeste,23,Ceará,2305100,Guaramiranga,20,5654,3389,3383,6,"2,943229167","0,9375",1920
2,Nordeste,23,Ceará,2305209,Hidrolândia,44,17855,8332,8329,3,"2,815357931","0,078839483",6342
2,Nordeste,23,Ceará,2305233,Horizonte,133,74755,31342,31336,6,"2,915508898","3,071339369",25624
2,Nordeste,23,Ceará,2305266,Ibaretama,39,11956,5255,5252,3,"2,971165797",,4023
2,Nordeste,23,Ceará,2305308,Ibiapina,74,23965,9717,9714,3,"3,033928345","0,088618813",7899
2,Nordeste,23,Ceará,2305332,Ibicuitinga,30,11611,5176,5169,7,"2,845833333","0,294117647",4080
2,Nordeste,23,Ceará,2305357,Icapuí,72,21433,11076,11020,56,"2,974394656","0,904536599",7186
2,Nordeste,23,Ceará,2305407,Icó,136,62642,28823,28813,10,"2,922437932","0,975359343",21428
2,Nordeste,23,Ceará,2305506,Iguatu,247,98064,44117,44106,11,"2,801925879","3,434580107",34997
2,Nordeste,23,Ceará,2305605,Independência,76,24024,11381,11378,3,"2,837703756",,8466
