nome_municipio,ano,total_furtos
Abaiara,2010,3
Abaiara,2011,4
Abaiara,2012,6
Abaiara,2013,9
Abaiara,2014,8
Abaiara,2015,18
Abaiara,2016,7
Abaiara,2017,5
Abaiara,2018,9
Abaiara,2019,6
Abaiara,2020,13
Abaiara,2021,6
Abaiara,2022,5
Abaiara,2023,19
Acarape,2009,3
Acarape,2010,5
Acarape,2011,34
Acarape,2012,11
Acarape,2013,22
Acarape,2014,33
Acarape,2015,35
Acarape,2016,37
Acarape,2017,43
Acarape,2018,51
Acarape,2019,21
Acarape,2020,12
Acarape,2021,18
Acarape,2022,15
Acarape,2023,25
Acaraú,2009,174
Acaraú,2010,368
Acaraú,2011,420
Acaraú,2012,334
Acaraú,2013,363
Acaraú,2014,201
Acaraú,2015,305
Acaraú,2016,295
Acaraú,2017,275
Acaraú,2018,202
Acaraú,2019,177
Acaraú,2020,126
Acaraú,2021,148
Acaraú,2022,142
Acaraú,2023,166
Acopiara,2009,12
Acopiara,2010,10
Acopiara,2011,13
Acopiara,2012,9
Acopiara,2013,65
Acopiara,2014,109
Acopiara,2015,128
Acopiara,2016,140
Acopiara,2017,158
Acopiara,2018,99
Acopiara,2019,97
Acopiara,2020,152
Acopiara,2021,92
Acopiara,2022,146
Acopiara,2023,83
Aiuaba,2011,2
Aiuaba,2012,3
Aiuaba,2013,3
Aiuaba,2014,9
Aiuaba,2015,13
Aiuaba,2016,8
Aiuaba,2017,16
Aiuaba,2018,7
Aiuaba,2019,13
Aiuaba,2020,10
Aiuaba,2021,6
Aiuaba,2022,13
Aiuaba,2023,12
Alcântaras,2009,3
Alcântaras,2010,2
Alcântaras,2011,5
Alcântaras,2012,7
Alcântaras,2013,14
Alcântaras,2014,10
Alcântaras,2015,16
Alcântaras,2016,17
Alcântaras,2017,16
Alcântaras,2018,16
Alcântaras,2019,11
Alcântaras,2020,8
Alcântaras,2021,10
Alcântaras,2022,8
Alcântaras,2023,21
Altaneira,2009,1
Altaneira,2010,2
Altaneira,2011,1
Altaneira,2012,1
Altaneira,2013,1
Altaneira,2014,6
Altaneira,2015,8
Altaneira,2016,10
Altaneira,2017,13
Altaneira,2018,14
Altaneira,2019,11
Altaneira,2020,8
Altaneira,2021,10
Altaneira,2022,6
Altaneira,2023,9
Alto Santo,2009,1
Alto Santo,2010,6
Alto Santo,2011,3
Alto Santo,2012,7
Alto Santo,2013,4
Alto Santo,2014,4
Alto Santo,2015,8
Alto Santo,2016,39
Alto Santo,2017,34
Alto Santo,2018,71
Alto Santo,2019,46
Alto Santo,2020,31
Alto Santo,2021,37
Alto Santo,2022,33
Alto Santo,2023,41
Amontada,2009,3
Amontada,2010,20
Amontada,2011,123
Amontada,2012,145
Amontada,2013,142
Amontada,2014,76
Amontada,2015,90
Amontada,2016,77
Amontada,2017,66
Amontada,2018,71
Amontada,2019,82
Amontada,2020,43
Amontada,2021,44
