territorialidades,idh,nome_uf,nome_municipio,nome_municipio
Brasil,0.727,,Brasil,Brasil
Abaiara (CE),0.628,CE,Abaiara ,Abaiara
Acarape (CE),0.606,CE,Acarape ,Acarape
Acaraú (CE),0.601,CE,Acaraú ,Acaraú
Acopiara (CE),0.595,CE,Acopiara ,Acopiara
Aiuaba (CE),0.569,CE,Aiuaba ,Aiuaba
Alcântaras (CE),0.6,CE,Alcântaras ,Alcântaras
Altaneira (CE),0.602,CE,Altaneira ,Altaneira
Alto Santo (CE),0.601,CE,Alto Santo ,Alto Santo
Amontada (CE),0.606,CE,Amontada ,Amontada
Antonina do Norte (CE),0.599,CE,Antonina do Norte ,Antonina do Norte
Apuiarés (CE),0.618,CE,Apuiarés ,Apuiarés
Aquiraz (CE),0.641,CE,Aquiraz ,Aquiraz
Aracati (CE),0.655,CE,Aracati ,Aracati
Aracoiaba (CE),0.615,CE,Aracoiaba ,Aracoiaba
Ararendá (CE),0.59,CE,Ararendá ,Ararendá
Araripe (CE),0.564,CE,Araripe ,Araripe
Aratuba (CE),0.622,CE,Aratuba ,Aratuba
Arneiroz (CE),0.618,CE,Arneiroz ,Arneiroz
Assaré (CE),0.6,CE,Assaré ,Assaré
Aurora (CE),0.605,CE,Aurora ,Aurora
Baixio (CE),0.627,CE,Baixio ,Baixio
Banabuiú (CE),0.606,CE,Banabuiú ,Banabuiú
Barbalha (CE),0.683,CE,Barbalha ,Barbalha
Barreira (CE),0.616,CE,Barreira ,Barreira
Barro (CE),0.599,CE,Barro ,Barro
Barroquinha (CE),0.571,CE,Barroquinha ,Barroquinha
Baturité (CE),0.619,CE,Baturité ,Baturité
Beberibe (CE),0.638,CE,Beberibe ,Beberibe
Bela Cruz (CE),0.623,CE,Bela Cruz ,Bela Cruz
Boa Viagem (CE),0.598,CE,Boa Viagem ,Boa Viagem
Brejo Santo (CE),0.647,CE,Brejo Santo ,Brejo Santo
Camocim (CE),0.62,CE,Camocim ,Camocim
Campos Sales (CE),0.63,CE,Campos Sales ,Campos Sales
Canindé (CE),0.612,CE,Canindé ,Canindé
Capistrano (CE),0.611,CE,Capistrano ,Capistrano
Caridade (CE),0.592,CE,Caridade ,Caridade
Cariré (CE),0.596,CE,Cariré ,Cariré
Caririaçu (CE),0.578,CE,Caririaçu ,Caririaçu
Cariús (CE),0.597,CE,Cariús ,Cariús
Carnaubal (CE),0.593,CE,Carnaubal ,Carnaubal
Cascavel (CE),0.646,CE,Cascavel ,Cascavel
Catarina (CE),0.618,CE,Catarina ,Catarina
Catunda (CE),0.609,CE,Catunda ,Catunda
Caucaia (CE),0.682,CE,Caucaia ,Caucaia
Cedro (CE),0.627,CE,Cedro ,Cedro
Chaval (CE),0.586,CE,Chaval ,Chaval
Choró (CE),0.585,CE,Choró ,Choró
Chorozinho (CE),0.604,CE,Chorozinho ,Chorozinho
Coreaú (CE),0.61,CE,Coreaú ,Coreaú
Crateús (CE),0.644,CE,Crateús ,Crateús
Crato (CE),0.713,CE,Crato ,Crato
Croatá (CE),0.59,CE,Croatá ,Croatá
Cruz (CE),0.632,CE,Cruz ,Cruz
Deputado Irapuan Pinheiro (CE),0.609,CE,Deputado Irapuan Pinheiro ,Deputado Irapuan Pinheiro
Ererê (CE),0.61,CE,Ererê ,Ererê
Eusébio (CE),0.701,CE,Eusébio ,Eusébio
Farias Brito (CE),0.633,CE,Farias Brito ,Farias Brito
Forquilha (CE),0.644,CE,Forquilha ,Forquilha
Fortaleza (CE),0.754,CE,Fortaleza ,Fortaleza
Fortim (CE),0.624,CE,Fortim ,Fortim
Frecheirinha (CE),0.604,CE,Frecheirinha ,Frecheirinha
General Sampaio (CE),0.568,CE,General Sampaio ,General Sampaio
Graça (CE),0.57,CE,Graça ,Graça
Granja (CE),0.559,CE,Granja ,Granja
Granjeiro (CE),0.585,CE,Granjeiro ,Granjeiro
Groaíras (CE),0.633,CE,Groaíras ,Groaíras
Guaiúba (CE),0.617,CE,Guaiúba ,Guaiúba
Guaraciaba do Norte (CE),0.609,CE,Guaraciaba do Norte ,Guaraciaba do Norte
Guaramiranga (CE),0.637,CE,Guaramiranga ,Guaramiranga
Hidrolândia (CE),0.597,CE,Hidrolândia ,Hidrolândia
Horizonte (CE),0.658,CE,Horizonte ,Horizonte
Ibaretama (CE),0.577,CE,Ibaretama ,Ibaretama
Ibiapina (CE),0.608,CE,Ibiapina ,Ibiapina
Ibicuitinga (CE),0.606,CE,Ibicuitinga ,Ibicuitinga
Icapuí (CE),0.616,CE,Icapuí ,Icapuí
Icó (CE),0.606,CE,Icó ,Icó
Iguatu (CE),0.677,CE,Iguatu ,Iguatu
Independência (CE),0.632,CE,Independência ,Independência
Ipaporanga (CE),0.579,CE,Ipaporanga ,Ipaporanga
Ipaumirim (CE),0.606,CE,Ipaumirim ,Ipaumirim
Ipu (CE),0.618,CE,Ipu ,Ipu
Ipueiras (CE),0.573,CE,Ipueiras ,Ipueiras
Iracema (CE),0.652,CE,Iracema ,Iracema
Irauçuba (CE),0.605,CE,Irauçuba ,Irauçuba
Itaiçaba (CE),0.656,CE,Itaiçaba ,Itaiçaba
Itaitinga (CE),0.626,CE,Itaitinga ,Itaitinga
Itapagé (CE),0.623,CE,Itapagé ,Itapagé
Itapipoca (CE),0.64,CE,Itapipoca ,Itapipoca
Itapiúna (CE),0.604,CE,Itapiúna ,Itapiúna
Itarema (CE),0.606,CE,Itarema ,Itarema
Itatira (CE),0.562,CE,Itatira ,Itatira
Jaguaretama (CE),0.612,CE,Jaguaretama ,Jaguaretama
Jaguaribara (CE),0.618,CE,Jaguaribara ,Jaguaribara
Jaguaribe (CE),0.621,CE,Jaguaribe ,Jaguaribe
Jaguaruana (CE),0.624,CE,Jaguaruana ,Jaguaruana
Jardim (CE),0.614,CE,Jardim ,Jardim
Jati (CE),0.651,CE,Jati ,Jati
Jijoca de Jericoacoara (CE),0.652,CE,Jijoca de Jericoacoara ,Jijoca de Jericoacoara
Juazeiro do Norte (CE),0.694,CE,Juazeiro do Norte ,Juazeiro do Norte
Jucás (CE),0.598,CE,Jucás ,Jucás
Lavras da Mangabeira (CE),0.613,CE,Lavras da Mangabeira ,Lavras da Mangabeira
Limoeiro do Norte (CE),0.682,CE,Limoeiro do Norte ,Limoeiro do Norte
Madalena (CE),0.61,CE,Madalena ,Madalena
Maracanaú (CE),0.686,CE,Maracanaú ,Maracanaú
Maranguape (CE),0.659,CE,Maranguape ,Maranguape
Marco (CE),0.612,CE,Marco ,Marco
Martinópole (CE),0.599,CE,Martinópole ,Martinópole
Massapê (CE),0.616,CE,Massapê ,Massapê
Mauriti (CE),0.605,CE,Mauriti ,Mauriti
Meruoca (CE),0.618,CE,Meruoca ,Meruoca
Milagres (CE),0.628,CE,Milagres ,Milagres
Milhã (CE),0.626,CE,Milhã ,Milhã
Miraíma (CE),0.592,CE,Miraíma ,Miraíma
Missão Velha (CE),0.622,CE,Missão Velha ,Missão Velha
Mombaça (CE),0.582,CE,Mombaça ,Mombaça
Monsenhor Tabosa (CE),0.61,CE,Monsenhor Tabosa ,Monsenhor Tabosa
Morada Nova (CE),0.61,CE,Morada Nova ,Morada Nova
Moraújo (CE),0.581,CE,Moraújo ,Moraújo
Morrinhos (CE),0.588,CE,Morrinhos ,Morrinhos
Mucambo (CE),0.607,CE,Mucambo ,Mucambo
Mulungu (CE),0.607,CE,Mulungu ,Mulungu
Nova Olinda (CE),0.625,CE,Nova Olinda ,Nova Olinda
Nova Russas (CE),0.614,CE,Nova Russas ,Nova Russas
Novo Oriente (CE),0.605,CE,Novo Oriente ,Novo Oriente
Ocara (CE),0.594,CE,Ocara ,Ocara
Orós (CE),0.636,CE,Orós ,Orós
Pacajus (CE),0.659,CE,Pacajus ,Pacajus
Pacatuba (CE),0.675,CE,Pacatuba ,Pacatuba
Pacoti (CE),0.635,CE,Pacoti ,Pacoti
