id_municipio,id_municipio_tse,id_uf,nome_municipio,centroide
2308906,14796,23,MORRINHOS,POINT(-40.0912592590751 -3.28414982234069)
2307908,14591,23,MARTINOPOLE,POINT(-40.6475432371398 -3.16909619690766)
2307254,13005,23,JIJOCA DE JERICOACOARA,POINT(-40.4945113068936 -2.87872541898898)
2306553,15954,23,ITAREMA,POINT(-39.889228471988 -3.04919822403069)
2302305,13455,23,BELA CRUZ,POINT(-40.3079812473698 -3.05312040153093)
2300200,13030,23,ACARAU,POINT(-40.0891559360463 -2.96787291968031)
2307809,14575,23,MARCO,POINT(-40.2629990949709 -3.18943147162555)
2304251,15890,23,CRUZ,POINT(-40.3262452912653 -2.89629984778382)
2303907,13773,23,CHAVAL,POINT(-41.2330262496227 -3.09299626789805)
2304707,13951,23,GRANJA,POINT(-41.0059358089467 -3.23428153717482)
2302057,13404,23,BARROQUINHA,POINT(-41.1741551503206 -2.97093693220737)
2302602,13510,23,CAMOCIM,POINT(-40.8005076816064 -2.95078506027151)
2305308,14079,23,IBIAPINA,POINT(-41.0054740004236 -3.95109073626292)
2303402,13676,23,CARNAUBAL,POINT(-41.0099140930119 -4.13029148611243)
2313609,15733,23,UBAJARA,POINT(-41.0041873438785 -3.8669937684425)
2314102,15830,23,VICOSA DO CEARA,POINT(-41.1361194821025 -3.54504404509419)
2313401,15695,23,TIANGUA,POINT(-41.0556731206528 -3.73727661702126)
2312304,15474,23,SAO BENEDITO,POINT(-40.9738653224334 -4.04136925970604)
2305001,14010,23,GUARACIABA DO NORTE,POINT(-40.9183819597966 -4.23514987494329)
2304236,15881,23,CROATA,POINT(-40.9759068426117 -4.38829689441844)
2313906,15792,23,URUOCA,POINT(-40.6801212637168 -3.32133954113478)
2304509,13919,23,FRECHEIRINHA,POINT(-40.8316136582363 -3.71796352945968)
2304004,13811,23,COREAU,POINT(-40.729105866229 -3.64334869346977)
2308807,14770,23,MORAUJO,POINT(-40.6798960944876 -3.46166776609764)
2308203,14656,23,MERUOCA,POINT(-40.4514461425082 -3.57822729226994)
2300507,13099,23,ALCANTARAS,POINT(-40.5445145243582 -3.59283338601049)
2308377,14680,23,MIRAIMA,POINT(-39.9104860209735 -3.56077972559161)
2306108,14230,23,IRAUCUBA,POINT(-39.8181179198734 -3.86569295763314)
2304657,13064,23,GRACA,POINT(-40.7767439790058 -4.04838309988278)
2312809,15571,23,SENADOR SA,POINT(-40.4611667106913 -3.27102250814693)
2308005,14613,23,MASSAPE,POINT(-40.3880575297479 -3.48433439399301)
2312007,15415,23,SANTANA DO ACARAU,POINT(-40.1648689457601 -3.46168017022789)
2312908,15598,23,SOBRAL,POINT(-40.2267663984132 -3.80977024392056)
2309904,14990,23,PACUJA,POINT(-40.6901492437425 -4.0012334689653)
2303105,13617,23,CARIRE,POINT(-40.5224814569333 -3.95166233929955)
2304905,13994,23,GROAIRAS,POINT(-40.3664370201927 -3.9128173318575)
2304350,15911,23,FORQUILHA,POINT(-40.2275089250716 -3.83117409463163)
2309003,14818,23,MUCAMBO,POINT(-40.754941390341 -3.89816201241022)
